ISim P.20131013 (signature 0x7708f090)
This is a Full version of ISim.
Time resolution is 1 ps
Simulator is doing circuit initialization process.
Finished circuit initialization process.
@00003628: $31 <= 00000044
@0000362c: $31 <= 00000014
@00003634: $31 <= 0000363c
@00003638: *0000163c <= 0000363c
@00003644: $31 <= 00000000
@00003648: $31 <= 00000000
@0000364c: $31 <= 00000010
@00003650: $31 <= 00000050
@00003654: $31 <= 00000048
@0000365c: $31 <= 00003664
@00003660: $31 <= 0000366c
@00003668: $ 9 <= 0000366c
@00003670: $31 <= 00003670
@00003678: $31 <= 00000008
@0000367c: $31 <= 0000000c
@00003680: $31 <= 0000005c
@00003688: $31 <= 00003690
@0000368c: $31 <= 00000000
@00003694: $ 9 <= 00000000
@0000369c: $31 <= 00000000
@000036a4: $31 <= 00000000
@000036a8: $31 <= 00000000
@000036ac: $31 <= 00000000
@000036b4: $31 <= 000036bc
@000036b8: *000016bc <= 000036bc
@000036c0: $ 9 <= 000036bd
@000036c8: $31 <= 000036c0
@000036cc: $31 <= 000036c8
@000036d0: $31 <= 00000008
@000036d4: $31 <= 0000000c
@000036d8: $31 <= 0000005c
@000036e0: $31 <= 000036e8
@000036e4: $31 <= 00000000
@000036ec: $ 9 <= 00000001
@000036f4: $31 <= 00000008
@000036f8: *00001008 <= 00000008
@000036fc: $31 <= 00000000
@00003700: $31 <= 00000000
@00003704: $31 <= 00000000
@0000370c: $31 <= 00003714
@00003710: $31 <= 00003718
@00003718: $31 <= 0000371c
@0000371c: $31 <= 00000018
@00003720: $31 <= 00000044
@00003724: $31 <= 00000014
@0000372c: $31 <= 00003734
@00003730: *00001734 <= 00003734
@00003738: $31 <= 00003738
@0000373c: $31 <= 00000014
@00003740: $31 <= 0000004c
@00003744: $31 <= 00000058
@0000374c: $31 <= 00003754
@00003750: $31 <= 00003758
@00003758: $31 <= 00003768
@00003760: *00001768 <= 00003768
@00003768: $31 <= 00000004
@0000376c: $31 <= 00000068
@00003770: $31 <= 0000003c
@00003778: $31 <= 00003780
@0000377c: $31 <= 00000000
@00003784: $31 <= 00003794
@0000378c: $31 <= 0000379c
@00003794: $31 <= 00000000
@00003798: $31 <= 00000000
@0000379c: $31 <= 00000000
@000037a4: $31 <= 000037ac
@000037a8: $31 <= 000037b4
@000037b0: $31 <= 000037c0
@000037b4: $11 <= 000037bc
@000037b8: $31 <= 000037c8
@000037c0: $31 <= 00000008
@000037c4: $31 <= 0000000c
@000037c8: $31 <= 0000005c
@000037d0: $31 <= 000037d8
@000037d4: *000017d8 <= 000037d8
@000037dc: $31 <= 000037ec
@000037e0: $11 <= 000037e8
@000037e4: $31 <= 000037f0
@000037ec: $11 <= 0000380c
@000037f0: $31 <= 00000000
@000037f4: $31 <= 00000000
@000037f8: $31 <= 00000000
@00003800: $31 <= 00003808
@00003804: $31 <= 00003810
@0000380c: $31 <= 00000000
@00003810: $11 <= 00003830
@00003814: $31 <= 00000014
@00003818: $31 <= 0000004c
@0000381c: $31 <= 00000058
@00003824: $31 <= 0000382c
@00003828: $31 <= 00003830
@00003830: $31 <= 00000000
@00003834: $11 <= 00003854
@00003838: $31 <= 00000008
@0000383c: $31 <= 0000000c
@00003840: $31 <= 0000005c
@00003848: $31 <= 00003850
@0000384c: *00001850 <= 00003850
@00003854: *00001850 <= 00003850
@00003858: $11 <= 00003878
@0000385c: $31 <= 00000010
@00003860: $31 <= 00000050
@00003864: $31 <= 00000048
@0000386c: $31 <= 00003874
@00003870: $31 <= 0000387c
@00003878: *0000187c <= 0000387c
@0000387c: $11 <= 0000389c
@00003880: $31 <= 00000008
@00003884: $31 <= 0000000c
@00003888: $31 <= 0000005c
@00003890: $31 <= 00003898
@00003894: *00001898 <= 00003898
@0000389c: $31 <= 000038a0
@000038a0: $11 <= 000038c0
@000038a4: $31 <= 00000004
@000038a8: $31 <= 00000068
@000038ac: $31 <= 0000003c
@000038b4: $31 <= 000038bc
@000038b8: $31 <= 00000000
@000038c0: $31 <= 00000008
@000038c4: $11 <= 000038e4
@000038c8: $31 <= 00000008
@000038cc: $31 <= 0000000c
@000038d0: $31 <= 0000005c
