
@00003000: $ 8 <= 00000000
@00003004: *00000190 <= 00000000
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 00003310
@0000418c: $15 <= 00003318
@00003318: $14 <= 00001926
@0000331c: $30 <= 00003324
@00003320: *00000008 <= 7f0e7f0e
@00004180: $15 <= 00000002
@00004184: $15 <= 00000010
@00004188: $15 <= 00001924
@0000418c: $15 <= 00003324
@00003324: $14 <= 00001926
@00003328: $30 <= 00003330
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 00003328
@0000418c: $15 <= 00003330
@00003330: $14 <= 00001926
@00003334: $30 <= 0000333c
@00003338: *0000000c <= 00007f0e
@00004180: $15 <= 00000002
@00004184: $15 <= 00000010
@00004188: $15 <= 00001924
@0000418c: $15 <= 0000333c
@0000333c: $14 <= 00001926
@00003340: $30 <= 00003348
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 00003340
@0000418c: $15 <= 00003348
@00003348: $14 <= 00001926
@0000334c: $30 <= 00003354
@00003350: *0000000c <= 7f0e7f0e
@00004180: $15 <= 00000002
@00004184: $15 <= 00000010
@00004188: $15 <= 00001924
@0000418c: $15 <= 00003354
@00003354: $14 <= 00001926
@00003358: $30 <= 00003360
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 00003358
@0000418c: $15 <= 00003360
@00003360: $14 <= 00001926
@00003364: $30 <= 0000336c
@00003368: *00000010 <= 00007f0e
@00004180: $15 <= 00000002
@00004184: $15 <= 00000010
@00004188: $15 <= 00001924
@0000418c: $15 <= 0000336c
@0000336c: $ 8 <= 00007f0d
@00003370: $14 <= 00001926
@00003374: $30 <= 0000337c
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 00003374
@0000418c: $15 <= 0000337c
@0000337c: $14 <= 00001926
@00003380: $30 <= 00003388
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 00003380
@0000418c: $15 <= 00003388
@00003388: $14 <= 00001926
@0000338c: $30 <= 00003394
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 0000338c
@0000418c: $15 <= 00003394
@00003394: $14 <= 00001926
@00003398: $30 <= 000033a0
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 00003398
@0000418c: $15 <= 000033a0
@000033a0: $14 <= 00001926
@000033a4: $30 <= 000033ac
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 000033a4
@0000418c: $15 <= 000033ac
@000033ac: $14 <= 00001926
@000033b0: $30 <= 000033b8
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 000033b0
@0000418c: $15 <= 000033b8
@000033b8: $14 <= 00001926
@000033bc: $30 <= 000033c4
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 000033bc
@0000418c: $15 <= 000033c4
@000033c4: $14 <= 00001926
@000033c8: $30 <= 000033d0
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 000033c8
@0000418c: $15 <= 000033d0
@000033d0: $14 <= 00001926
@000033d4: $30 <= 000033dc
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 000033d4
@0000418c: $15 <= 000033dc
@000033dc: $14 <= 00001926
@000033e0: $30 <= 000033e8
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 000033e0
@0000418c: $15 <= 000033e8
@000033e8: $14 <= 00001926
@000033ec: $30 <= 000033f4
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 000033ec
@0000418c: $15 <= 000033f4
@000033f4: $14 <= 00001926
@000033f8: $30 <= 00003400
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
